waypoint number       time [s]              PosX [mm]             PosY [mm]             PosZ [mm]             Roll [degrees]        Pitch [degrees]       Yaw [degrees]         Cycle time [ms]       
59                    0.600057148299838     9.431438127090301     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
60                    0.610058100771502     9.588628762541806     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
61                    0.620059053243166     9.745819397993312     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
62                    0.63006000571483      9.903010033444817     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
63                    0.6400609581864939    10.060200668896321    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
64                    0.6500619106581579    10.217391304347826    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
65                    0.6600628631298219    10.37458193979933     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
66                    0.6700638156014859    10.531772575250837    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
67                    0.6800647680731498    10.688963210702342    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
68                    0.6900657205448137    10.846153846153847    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
69                    0.7000666730164777    11.003344481605351    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
70                    0.7100676254881417    11.160535117056856    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
71                    0.7200685779598057    11.317725752508363    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
72                    0.7300695304314696    11.474916387959867    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
73                    0.7400704829031336    11.632107023411372    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
74                    0.7500714353747976    11.789297658862877    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
75                    0.7600723878464616    11.946488294314381    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
76                    0.7700733403181255    12.103678929765886    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
77                    0.7800742927897895    12.260869565217392    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
78                    0.7900752452614535    12.418060200668897    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
79                    0.8000761977331174    12.575250836120402    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
80                    0.8100771502047814    12.732441471571907    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
81                    0.8200781026764453    12.889632107023411    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
82                    0.8300790551481093    13.046822742474918    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
83                    0.8400800076197733    13.204013377926422    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
84                    0.8500809600914373    13.361204013377927    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
85                    0.8600819125631012    13.518394648829432    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
86                    0.8700828650347652    13.675585284280936    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
87                    0.8800838175064292    13.832775919732441    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
88                    0.8900847699780932    13.989966555183948    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
89                    0.900085722449757     14.147157190635452    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
90                    0.910086674921421     14.304347826086957    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
91                    0.920087627393085     14.461538461538462    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
92                    0.930088579864749     14.618729096989966    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
93                    0.940089532336413     14.775919732441473    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
94                    0.9500904848080769    14.933110367892978    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663883    
95                    0.9600914372797409    15.090301003344482    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
96                    0.9700923897514049    15.247491638795987    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
97                    0.9800933422230689    15.404682274247492    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
98                    0.9900942946947329    15.561872909698998    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
99                    1.0000952471663969    15.719063545150503    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
100                   1.0100961996380606    15.876254180602007    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
101                   1.0200971521097246    16.033444816053514    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
102                   1.0300981045813886    16.190635451505017    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
103                   1.0400990570530526    16.347826086956523    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
104                   1.0501000095247166    16.505016722408026    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
105                   1.0601009619963806    16.662207357859533    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
106                   1.0701019144680446    16.81939799331104     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
107                   1.0801028669397086    16.976588628762542    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
108                   1.0901038194113726    17.13377926421405     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
109                   1.1001047718830363    17.29096989966555     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663771    
110                   1.1101057243547003    17.448160535117058    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
111                   1.1201066768263643    17.60535117056856     0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
112                   1.1301076292980283    17.762541806020067    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
113                   1.1401085817696923    17.919732441471574    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
114                   1.1501095342413563    18.076923076923077    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
115                   1.1601104867130203    18.234113712374583    0.0                   0.0                   0.0                   0.0                   0.0                   10.000952471663993    
