Time Rec (s)	Time Stamp (s)	Pos X COMM(mm)	Pos Y COMM(mm)	Pos Z COMM(mm)	Roll COMM(deg)	Pitch COMM(deg)	Yaw COMM(deg)	
0.42636               	0.426690012217        	2.34427165985         	0.000926523819        	0.006464764941        	2.2640361e-05         	0.002294454491        	0.000543663627        	
0.43758               	0.437880009413        	2.4315507412          	-2.2137307e-05        	0.007063049357        	3.7665817e-05         	0.002275984269        	-5.586039e-05         	
0.44880000000000003   	0.449110001326        	2.51878285408         	0.000895744481        	0.007665463723        	1.9475197e-05         	0.002265326679        	0.00050558534         	
0.46002000000000004   	0.461829990149        	2.61853504181         	-4.754181e-06         	0.008358881809        	3.5080579e-05         	0.0022525799          	-6.5145388e-05        	
0.47124000000000005   	0.471540004015        	2.69128060341         	-1.00091e-07          	0.00887869671         	4.3466029e-05         	0.002243636642        	-5.5471268e-05        	
0.48246000000000006   	0.482800006866        	2.77808880806         	0.000878339983        	0.009502653033        	8.41766e-07           	0.00225682673         	0.000510925194        	
0.49368               	0.493970006704        	2.86499214172         	-7.230049e-06         	0.010149786249        	2.4615952e-05         	0.002229238162        	-4.0684346e-05        	
0.5049                	0.505159974098        	2.95011401177         	-4.269529e-05         	0.010766179301        	3.0408108e-05         	0.002230019076        	-8.3733466e-05        	
0.51612               	0.516430020332        	3.03665304184         	0.000885384041        	0.011431599036        	1.6603579e-05         	0.002233272651        	0.000511337945        	
0.52734               	0.527629971504        	3.12321686745         	-4.6655787e-05        	0.012071073987        	3.96369e-05           	0.002226284007        	-8.3459592e-05        	
0.53856               	0.538919985294        	3.20963454246         	0.000806321623        	0.012725275941        	4.164489e-06          	0.002232180675        	0.000478176546        	
0.54978               	0.551930010319        	3.31168985367         	-4.0345531e-05        	0.01350795012         	3.4408873e-05         	0.002211903222        	-6.8668458e-05        	
0.561                 	0.561469972134        	3.38375735283         	-5.4827688e-05        	0.014065964147        	1.468002e-05          	0.002230644925        	-5.4010605e-05        	
0.5722200000000001    	0.572570025921        	3.468303442           	-3.5934259e-05        	0.014760749415        	4.5668767e-05         	0.002222435083        	-6.3615575e-05        	
